"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR"
"2017","CLE","102","60","37","659","162","1440.2","10.08","2.54","1.02",".303","77.5%","44.1%","13.0%","87.1","3.30","3.33","3.41","30.4"
"2011","PHI","102","60","47","556","162","1477.0","7.92","2.46","0.73",".286","77.5%","46.5%","8.3%","","3.02","3.24","3.41","29.5"
"2018","HOU","103","59","46","672","162","1455.0","10.44","2.69","0.94",".283","77.9%","44.0%","11.6%","87.8","3.11","3.23","3.36","28.6"
"2013","DET","93","69","39","590","162","1462.2","8.79","2.84","0.79",".306","73.7%","45.4%","9.2%","","3.61","3.27","3.43","26.3"
"2019","TBR","96","66","46","765","162","1474.1","9.90","2.77","1.10",".290","73.7%","44.1%","13.4%","87.9","3.67","3.65","3.89","25.1"
"2012","DET","88","74","40","582","162","1430.2","8.29","2.76","0.95",".307","72.7%","43.4%","10.5%","","3.77","3.63","3.74","24.5"
"2018","NYY","100","62","49","670","162","1456.1","10.10","3.05","1.09",".300","73.9%","42.9%","12.9%","87.9","3.78","3.63","3.61","24.4"
"2019","LAD","106","56","44","707","162","1445.2","9.46","2.44","1.15",".271","74.7%","44.9%","14.1%","87.6","3.39","3.73","3.87","24.4"
"2014","WSN","96","66","45","620","162","1470.2","7.88","2.15","0.67",".294","74.9%","44.8%","7.5%","","3.03","3.18","3.43","24.3"
"2008","CHW","89","74","34","626","163","1457.2","7.08","2.84","0.96",".298","71.0%","45.5%","10.0%","","4.11","4.00","4.01","24.1"
"2010","CHW","88","74","43","569","162","1446.1","7.15","3.05","0.85",".305","71.5%","44.9%","8.4%","","4.09","3.80","3.94","24.0"
"2016","WSN","95","67","46","670","162","1459.2","9.10","2.89","0.96",".288","75.0%","43.3%","10.9%","88.1","3.52","3.58","3.82","23.5"
"2019","MIN","101","61","50","686","162","1463.1","9.00","2.78","1.22",".309","71.8%","41.8%","13.4%","88.4","4.18","4.03","4.27","23.5"
"2017","NYY","91","71","36","639","162","1448.2","9.69","3.13","1.19",".280","74.5%","46.2%","14.2%","87.0","3.75","3.88","3.82","23.4"
"2017","BOS","93","69","39","677","162","1482.1","9.59","2.82","1.18",".303","75.7%","41.0%","12.7%","87.5","3.73","3.78","3.91","23.2"
"2011","CHW","79","83","42","572","162","1460.0","7.52","2.71","0.91",".303","71.3%","44.2%","9.4%","","4.10","3.66","3.69","23.2"
"2019","HOU","107","55","47","654","162","1462.1","10.28","2.76","1.42",".270","76.8%","43.6%","16.7%","88.1","3.66","3.98","3.80","23.1"
"2017","WSN","97","65","46","649","162","1446.2","9.06","3.08","1.18",".287","74.4%","44.0%","12.8%","86.8","3.88","3.99","4.12","23.0"
"2008","ARI","82","80","39","606","162","1434.2","7.71","2.83","0.92",".297","70.9%","45.3%","9.9%","","3.99","3.84","3.87","22.9"
"2015","CHC","97","65","48","714","162","1461.1","8.81","2.51","0.83",".287","72.7%","46.6%","10.7%","87.9","3.36","3.30","3.37","22.9"
"2017","ARI","93","69","43","675","162","1441.0","9.26","3.22","1.07",".294","74.2%","48.1%","13.1%","87.9","3.67","3.80","3.86","22.9"
"2007","SDP","89","74","45","648","163","1484.2","6.89","2.87","0.72",".287","71.6%","45.8%","7.4%","","3.72","3.81","4.13","22.7"
"2008","TOR","86","76","44","583","162","1446.2","7.37","2.91","0.83",".284","74.8%","46.6%","9.3%","","3.49","3.81","3.92","22.3"
"2012","TEX","93","69","43","590","162","1442.0","8.03","2.78","1.09",".292","71.5%","43.9%","11.6%","","4.02","3.90","3.86","22.2"
"2015","WSN","83","79","41","630","162","1434.2","8.42","2.28","0.91",".300","72.7%","44.7%","10.3%","87.6","3.62","3.45","3.58","22.2"
"2019","WSN","93","69","40","692","162","1439.1","9.45","3.23","1.26",".296","73.0%","42.6%","13.9%","88.6","4.28","4.14","4.32","22.0"
"2018","CLE","91","71","41","670","162","1457.1","9.54","2.51","1.24",".298","76.0%","42.5%","13.7%","88.3","3.77","3.79","3.66","21.9"
"2017","LAD","104","58","51","698","162","1444.2","9.65","2.75","1.15",".281","77.8%","42.7%","13.4%","86.3","3.38","3.67","3.70","21.7"
"2019","CLE","93","69","42","684","162","1437.2","9.44","2.82","1.30",".291","76.0%","39.7%","13.6%","88.6","3.79","4.06","4.30","21.7"
"2010","COL","83","79","35","675","162","1442.0","7.70","3.28","0.87",".302","70.8%","46.5%","9.6%","","4.14","3.83","3.80","21.6"
"2016","NYM","87","75","55","700","162","1447.0","8.68","2.73","0.95",".308","75.6%","44.2%","11.1%","88.6","3.58","3.57","3.78","21.5"
"2006","LAA","89","73","50","542","162","1452.2","7.21","2.92","0.98",".291","70.1%","42.3%","9.2%","","4.04","4.03","4.28","21.3"
"2013","TEX","91","72","46","638","163","1463.1","8.05","3.06","0.97",".293","75.5%","42.8%","10.7%","","3.63","3.77","3.75","21.2"
"2015","CLE","81","80","38","637","161","1432.2","8.84","2.67","1.01",".288","72.8%","44.5%","11.7%","88.5","3.68","3.62","3.57","21.1"
"2009","COL","92","70","45","646","162","1438.1","7.22","3.30","0.88",".299","71.3%","47.3%","9.9%","","4.24","3.96","3.99","21.0"
"2012","LAD","86","76","40","668","162","1449.2","7.92","3.35","0.76",".283","74.8%","45.5%","8.9%","","3.35","3.64","3.93","20.8"
"2013","LAD","92","70","46","666","162","1450.1","8.02","2.85","0.79",".291","75.4%","47.1%","9.9%","","3.25","3.45","3.52","20.6"
"2008","CHC","97","64","44","639","161","1450.2","7.84","3.40","0.99",".281","74.0%","41.6%","9.8%","","3.87","4.09","4.14","20.6"
"2006","MIN","96","66","40","583","162","1439.1","7.28","2.23","1.14",".302","73.7%","43.7%","11.3%","","3.95","3.99","3.93","20.6"
"2015","STL","100","62","62","677","162","1464.2","8.17","2.93","0.76",".297","79.4%","48.0%","9.4%","87.9","2.94","3.48","3.71","20.6"
"2014","CHC","73","89","37","699","162","1463.1","8.06","3.10","0.71",".304","69.6%","44.0%","8.0%","","3.92","3.51","3.70","20.5"
"2007","CLE","96","66","49","557","162","1462.2","6.44","2.52","0.90",".302","71.9%","45.3%","8.7%","","4.05","4.06","4.21","20.5"
"2012","TBR","90","72","50","634","162","1459.2","8.53","2.89","0.86",".277","75.5%","47.9%","10.7%","","3.19","3.51","3.59","20.4"
"2019","NYM","86","76","38","664","162","1461.0","9.36","3.08","1.26",".304","73.1%","43.4%","13.9%","87.6","4.25","4.10","4.29","20.4"
"2014","CLE","85","77","40","735","162","1468.1","8.89","2.84","0.83",".309","73.2%","46.7%","10.0%","","3.57","3.42","3.36","20.3"
"2009","CHW","79","83","36","577","162","1439.2","7.00","3.17","1.06",".294","71.7%","44.3%","10.3%","","4.16","4.21","4.19","20.2"
"2007","LAA","94","68","43","558","162","1435.0","7.25","2.99","0.95",".307","71.1%","42.2%","8.6%","","4.23","4.10","4.26","20.0"
"2016","LAD","91","71","47","768","162","1453.0","9.35","2.87","1.02",".288","73.8%","42.8%","11.7%","87.3","3.70","3.61","3.75","20.0"
"2008","LAD","84","78","35","623","162","1447.1","7.49","2.98","0.76",".295","72.6%","49.6%","9.3%","","3.68","3.67","3.77","20.0"
"2011","LAD","82","79","40","622","161","1432.0","7.95","3.19","0.83",".285","74.1%","42.8%","8.8%","","3.56","3.61","3.72","20.0"
"2007","LAD","82","80","43","645","162","1450.0","7.35","3.22","0.91",".301","70.9%","45.5%","9.6%","","4.20","4.07","4.07","20.0"
"2012","PHI","81","81","42","602","162","1451.1","8.59","2.54","1.10",".298","72.9%","43.5%","12.1%","","3.86","3.72","3.61","19.8"
"2006","LAD","88","74","40","616","162","1460.1","6.58","3.03","0.94",".302","70.8%","47.8%","9.7%","","4.23","4.13","4.29","19.7"
"2015","LAD","92","70","47","677","162","1445.2","8.69","2.46","0.90",".296","74.7%","50.1%","12.1%","87.4","3.46","3.41","3.33","19.7"
"2009","SFG","88","74","41","619","162","1446.0","8.10","3.63","0.87",".279","75.5%","43.0%","9.1%","","3.55","3.85","3.99","19.7"
"2014","DET","90","72","41","635","162","1454.0","7.70","2.86","0.79",".312","70.7%","44.2%","8.3%","","4.01","3.60","3.76","19.7"
"2009","ATL","86","76","38","650","162","1462.2","7.58","3.26","0.73",".299","73.8%","46.4%","8.1%","","3.57","3.66","3.91","19.7"
"2018","PHI","80","82","44","758","162","1445.2","9.12","3.11","1.06",".303","71.0%","45.4%","12.4%","88.0","4.15","3.83","3.87","19.6"
"2014","LAD","94","68","47","658","162","1464.2","8.44","2.64","0.87",".292","74.0%","47.8%","10.8%","","3.40","3.48","3.33","19.5"
"2012","OAK","94","68","47","624","162","1470.0","6.96","2.83","0.90",".279","75.4%","41.7%","9.1%","","3.50","3.89","4.20","19.5"
"2015","PIT","98","64","54","662","162","1489.2","8.08","2.74","0.66",".302","75.0%","50.4%","9.4%","87.9","3.23","3.36","3.56","19.5"
"2008","COL","74","88","36","647","162","1446.0","6.48","3.50","0.92",".309","68.5%","46.8%","10.0%","","4.77","4.30","4.32","19.5"
"2012","WSN","98","64","51","644","162","1468.1","8.12","3.05","0.79",".282","75.1%","46.3%","9.2%","","3.34","3.54","3.80","19.5"
"2010","TEX","90","72","46","643","162","1455.1","7.30","3.41","1.00",".280","73.6%","41.5%","9.3%","","3.93","4.17","4.19","19.3"
"2009","NYY","103","59","51","623","162","1450.0","7.82","3.56","1.12",".290","71.9%","42.3%","11.1%","","4.28","4.32","4.17","19.3"
"2006","CHW","90","72","46","560","162","1449.0","6.29","2.69","1.24",".295","70.5%","42.9%","11.2%","","4.61","4.56","4.50","19.2"
"2011","TEX","96","66","38","579","162","1441.1","7.36","2.88","1.06",".278","72.5%","42.6%","10.7%","","3.79","3.98","3.83","19.2"
"2006","HOU","82","80","42","659","162","1468.2","7.11","2.94","1.12",".286","72.8%","45.2%","11.6%","","4.09","4.27","4.16","19.2"
"2008","TBR","97","65","52","610","162","1457.2","7.06","3.25","1.02",".277","74.0%","40.8%","9.3%","","3.82","4.22","4.35","19.2"
"2019","CIN","75","87","46","697","162","1438.0","9.71","3.35","1.34",".286","73.7%","44.3%","16.4%","88.2","4.18","4.23","4.10","19.1"
"2017","HOU","101","61","45","681","162","1446.0","9.91","3.25","1.20",".300","73.7%","47.3%","14.9%","86.8","4.12","3.91","3.77","19.0"
"2006","ARI","76","86","34","623","162","1459.2","6.87","3.30","1.04",".299","70.4%","46.8%","11.1%","","4.49","4.34","4.30","19.0"
"2015","NYM","90","72","50","647","162","1462.2","8.23","2.36","0.94",".288","74.3%","46.3%","10.8%","87.7","3.45","3.53","3.60","19.0"
"2018","LAD","92","71","48","756","163","1476.0","9.54","2.57","1.09",".284","76.2%","44.9%","13.4%","87.6","3.40","3.60","3.52","18.9"
"2015","HOU","86","76","39","644","162","1441.0","7.99","2.64","0.92",".285","73.8%","47.3%","10.9%","87.2","3.57","3.66","3.71","18.9"
"2016","CHC","103","58","38","665","162","1459.2","8.88","3.05","1.01",".255","77.5%","46.9%","13.1%","88.3","3.15","3.77","3.74","18.8"
"2007","MIL","83","79","49","654","162","1444.1","7.32","3.16","1.00",".308","70.2%","41.5%","9.2%","","4.44","4.22","4.29","18.8"
"2016","BOS","93","69","43","625","162","1439.2","8.51","3.06","1.10",".293","72.9%","41.5%","11.4%","88.1","4.00","4.00","4.20","18.8"
"2012","CIN","97","65","56","587","162","1453.0","7.73","2.64","0.94",".288","76.9%","45.9%","10.7%","","3.34","3.72","3.80","18.7"
"2016","NYY","84","78","48","645","162","1428.1","8.78","2.80","1.35",".292","74.2%","46.9%","15.5%","88.5","4.16","4.20","3.86","18.7"
"2017","COL","87","75","47","711","162","1437.2","7.95","3.33","1.19",".305","72.2%","48.5%","14.2%","86.9","4.51","4.32","4.26","18.6"
"2009","LAD","95","67","44","688","162","1473.1","7.77","3.57","0.78",".275","74.9%","43.7%","8.1%","","3.41","3.80","4.07","18.6"
"2014","ATL","79","83","54","634","162","1455.0","8.05","2.92","0.75",".300","75.0%","42.7%","8.3%","","3.38","3.47","3.63","18.6"
"2019","OAK","97","65","45","709","162","1465.0","7.98","2.93","1.23",".278","75.1%","41.5%","12.6%","88.4","3.97","4.34","4.72","18.5"
"2006","DET","95","67","46","552","162","1448.0","6.23","3.04","0.99",".284","74.1%","45.5%","10.0%","","3.85","4.32","4.43","18.5"
"2018","BOS","108","54","46","697","162","1458.2","9.61","3.16","1.09",".294","75.8%","42.4%","11.9%","88.5","3.75","3.82","3.92","18.5"
"2009","CHC","83","78","40","641","161","1445.1","7.92","3.65","1.00",".285","74.4%","42.8%","10.0%","","3.84","4.11","4.14","18.5"
"2016","DET","86","75","47","637","161","1428.0","7.76","2.91","1.15",".300","72.2%","44.5%","11.7%","88.4","4.24","4.16","4.31","18.5"
"2009","BOS","95","67","41","625","162","1436.2","7.71","3.32","1.05",".309","73.0%","40.9%","9.4%","","4.35","4.14","4.25","18.5"
"2015","NYY","87","75","48","659","162","1457.2","8.46","2.93","1.12",".300","73.8%","47.0%","13.6%","88.2","4.03","3.97","3.70","18.4"
"2010","SFG","92","70","57","638","162","1461.0","8.20","3.56","0.83",".282","77.0%","42.0%","8.0%","","3.36","3.74","3.94","18.4"
"2007","BOS","96","66","45","613","162","1438.2","7.19","3.02","0.94",".284","73.5%","42.6%","8.7%","","3.87","4.14","4.28","18.4"
"2008","BOS","95","67","47","628","162","1446.1","7.37","3.41","0.91",".289","72.6%","43.5%","9.2%","","4.01","4.09","4.23","18.4"
"2019","NYY","103","59","50","707","162","1443.0","9.57","3.16","1.55",".296","75.2%","42.4%","16.8%","88.7","4.31","4.47","4.27","18.4"
"2016","CLE","94","67","37","665","161","1445.0","8.71","2.87","1.16",".289","73.4%","46.7%","13.7%","88.6","3.86","3.91","3.80","18.2"
"2013","NYM","74","88","40","697","162","1476.2","7.37","2.79","0.93",".295","72.9%","44.5%","10.0%","","3.78","3.79","3.86","18.1"
"2013","CIN","90","72","43","623","162","1473.2","7.91","2.66","1.04",".273","77.5%","44.1%","11.5%","","3.38","3.81","3.68","18.0"
"2009","OAK","75","87","38","650","162","1447.1","6.99","3.25","0.97",".302","70.3%","44.1%","9.2%","","4.29","4.10","4.24","18.0"
"2010","DET","81","81","32","578","162","1444.1","6.58","3.35","0.88",".296","70.6%","43.8%","8.3%","","4.29","4.14","4.31","18.0"
"2011","OAK","74","88","39","622","162","1447.2","7.21","3.23","0.85",".289","72.1%","44.1%","8.5%","","3.71","3.80","3.98","18.0"
"2013","ATL","96","66","53","628","162","1450.1","7.65","2.54","0.79",".288","77.0%","45.8%","9.4%","","3.18","3.44","3.58","17.9"
"2018","NYM","77","85","41","663","162","1460.2","8.91","2.98","1.14",".295","73.0%","42.1%","12.2%","87.7","4.07","3.97","4.03","17.8"
"2007","CHC","85","77","39","640","162","1446.2","7.53","3.56","1.03",".281","73.6%","41.3%","9.6%","","4.04","4.36","4.36","17.7"
"2011","CLE","80","82","38","645","162","1453.1","6.34","2.87","0.95",".293","69.5%","45.4%","9.5%","","4.24","4.06","4.09","17.7"
"2012","SEA","75","87","43","613","162","1456.2","7.20","2.77","1.03",".282","74.2%","42.9%","10.6%","","3.76","4.00","4.09","17.6"
"2016","HOU","84","78","44","662","162","1468.0","8.56","2.78","1.11",".306","73.4%","45.2%","12.6%","88.1","4.06","3.85","3.87","17.6"
"2009","STL","91","71","43","643","162","1440.2","6.55","2.87","0.77",".292","73.2%","49.8%","8.7%","","3.66","3.82","4.00","17.5"
"2014","NYY","84","78","48","637","162","1453.0","8.49","2.47","1.02",".298","73.3%","43.7%","11.3%","","3.75","3.67","3.43","17.5"
"2007","TOR","83","79","44","582","162","1448.2","6.63","2.98","0.98",".282","71.8%","48.7%","10.6%","","4.00","4.28","4.15","17.5"
"2009","SEA","85","77","49","572","162","1452.2","6.46","3.31","1.07",".272","73.4%","41.2%","9.7%","","3.87","4.39","4.46","17.5"
"2013","KCR","86","76","52","589","162","1448.1","7.51","2.91","0.96",".290","76.9%","41.8%","10.0%","","3.45","3.83","3.90","17.5"
"2008","LAA","100","62","66","545","162","1451.1","6.86","2.83","0.99",".296","73.0%","44.3%","9.8%","","4.00","4.12","4.17","17.5"
"2015","CHW","76","86","37","576","162","1452.2","8.42","2.94","1.00",".311","72.9%","45.2%","11.4%","87.6","3.98","3.82","3.81","17.4"
"2014","OAK","88","74","31","603","162","1463.1","7.65","2.50","0.90",".272","75.9%","45.6%","10.0%","","3.22","3.67","3.60","17.4"
"2011","SEA","67","95","39","513","162","1433.0","6.83","2.74","0.91",".285","71.4%","43.8%","9.1%","","3.91","3.84","3.92","17.4"
"2018","TBR","90","72","52","715","162","1448.1","8.83","3.11","1.02",".278","73.3%","43.9%","11.5%","88.3","3.75","3.82","3.98","17.4"
"2011","NYY","97","65","47","627","162","1458.1","7.54","3.13","0.94",".297","75.0%","44.2%","9.9%","","3.73","3.87","3.84","17.3"
"2011","SFG","86","76","52","642","162","1468.0","8.07","3.43","0.59",".283","74.4%","46.4%","6.9%","","3.21","3.33","3.66","17.3"
"2006","COL","76","86","34","661","162","1447.1","5.92","3.44","0.96",".304","69.5%","45.7%","9.6%","","4.66","4.51","4.68","17.3"
"2013","STL","97","65","44","645","162","1459.2","7.73","2.78","0.69",".297","74.5%","48.5%","8.5%","","3.43","3.39","3.63","17.3"
"2010","MIN","94","68","40","627","162","1452.2","6.49","2.37","0.96",".299","73.4%","44.7%","9.2%","","3.95","3.91","3.93","17.3"
"2006","NYY","97","65","43","651","162","1443.2","6.35","3.09","1.06",".289","70.3%","43.3%","9.6%","","4.43","4.42","4.61","17.3"
"2013","WSN","86","76","47","602","162","1445.2","7.69","2.52","0.88",".291","73.6%","45.0%","9.8%","","3.59","3.55","3.64","17.3"
"2007","CHW","72","90","42","625","162","1440.2","6.34","3.12","1.09",".304","68.2%","42.9%","9.8%","","4.77","4.56","4.54","17.2"
"2014","KCR","89","73","53","613","162","1450.2","7.25","2.73","0.79",".292","73.9%","43.1%","8.2%","","3.51","3.69","3.88","17.2"
"2006","OAK","93","69","54","606","162","1451.2","6.22","3.28","1.00",".301","73.4%","42.6%","9.2%","","4.22","4.42","4.67","17.2"
"2016","CHW","78","84","43","643","162","1446.2","7.90","3.24","1.15",".298","74.0%","43.1%","12.0%","88.4","4.12","4.27","4.38","17.1"
"2017","MIL","86","76","54","712","162","1445.2","8.38","3.44","1.15",".298","74.8%","45.7%","13.5%","86.2","4.00","4.24","4.26","17.1"
"2007","OAK","76","86","36","608","162","1448.0","6.44","3.29","0.86",".296","69.4%","44.8%","8.3%","","4.30","4.23","4.44","17.0"
"2012","NYY","95","67","51","647","162","1445.1","8.21","2.68","1.18",".296","75.1%","44.9%","13.0%","","3.85","3.98","3.75","17.0"
"2018","COL","91","72","51","681","163","1452.1","8.73","3.25","1.14",".299","71.3%","45.2%","13.5%","88.5","4.33","4.06","3.96","17.0"
"2009","DET","86","77","42","602","163","1447.0","6.85","3.69","1.13",".293","73.2%","42.7%","10.6%","","4.34","4.53","4.45","17.0"
"2008","NYY","89","73","42","637","162","1441.2","7.12","3.05","0.89",".307","71.0%","45.7%","9.3%","","4.28","3.96","4.08","16.9"
"2010","LAD","80","82","41","637","162","1441.2","7.95","3.36","0.84",".287","70.9%","44.6%","8.6%","","4.01","3.76","3.87","16.8"
"2016","TOR","89","73","43","649","162","1459.1","8.10","2.84","1.13",".282","74.4%","46.6%","13.0%","89.0","3.79","4.04","4.02","16.8"
"2017","CHC","92","70","38","693","162","1447.1","8.95","3.44","1.21",".285","74.2%","46.2%","14.5%","86.7","3.95","4.20","4.10","16.8"
"2011","TBR","91","71","32","600","162","1449.0","7.10","3.13","1.00",".265","75.5%","42.1%","9.8%","","3.58","4.03","4.01","16.8"
"2013","PIT","94","68","55","627","162","1470.2","7.72","3.15","0.62",".285","75.0%","52.5%","8.9%","","3.27","3.42","3.58","16.8"
"2013","CLE","92","70","38","702","162","1441.1","8.61","3.46","0.92",".302","74.2%","44.5%","10.7%","","3.82","3.73","3.71","16.8"
