"Season","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"2018","MIN","6154","8.7%","21.6%","0.40",".250",".318",".405",".723",".155","3.7",".298","0.4","5.3","-5.1","711","-7.9",".313","96"
"2015","TBR","6071","7.2%","21.6%","0.33",".252",".314",".406",".720",".154","4.2",".300","-9.8","-0.6","-3.0","682","-1.0",".313","100"
"2014","CLE","6222","8.1%","19.1%","0.42",".253",".317",".389",".706",".136","4.4",".296","5.2","-0.3","5.0","683","14.0",".313","98"
"2017","CHW","6059","6.6%","23.1%","0.29",".256",".314",".417",".731",".161","4.5",".309","2.4","-1.9","-2.4","698","-41.0",".313","95"
"2010","WSN","6100","8.2%","20.0%","0.41",".250",".318",".390",".708",".140","4.5",".294","-11.9","-0.4","1.0","657","-43.1",".313","90"
"2019","PIT","6228","6.8%","19.5%","0.35",".265",".321",".420",".741",".156","4.5",".309","-1.1","-0.6","-2.9","744","-39.6",".313","92"
"2010","OAK","6117","8.6%","17.3%","0.50",".256",".324",".378",".702",".122","5.1",".297","8.8","-2.2","11.2","663","-39.8",".313","95"
"2009","CIN","6187","8.6%","18.2%","0.47",".247",".318",".394",".712",".147","4.4",".282","1.1","5.4","-1.3","652","-89.3",".313","84"
"2012","MIN","6209","8.1%","17.2%","0.47",".260",".325",".390",".715",".130","4.9",".298","2.5","-7.1","5.3","698","-10.8",".313","95"
"2015","SEA","6131","7.8%","21.8%","0.36",".249",".311",".411",".722",".162","3.6",".292","-18.6","2.1","-6.6","686","-3.3",".313","100"
"2015","PIT","6285","7.3%","21.0%","0.35",".260",".323",".396",".719",".136","4.4",".314","3.2","1.3","-1.0","698","-8.4",".313","97"
"2018","SEA","6087","7.1%","20.1%","0.35",".254",".314",".408",".722",".154","4.2",".295","-1.7","-2.6","-2.7","700","-11.0",".313","100"
"2009","SEA","6113","6.9%","17.9%","0.39",".258",".314",".402",".716",".144","4.0",".293","-4.8","0.0","0.3","651","-81.4",".313","89"
"2014","MIL","6065","7.0%","19.7%","0.35",".250",".311",".397",".708",".147","4.5",".293","-2.2","-9.0","-0.9","656","4.2",".313","94"
"2014","CHW","6077","6.9%","22.4%","0.31",".253",".310",".398",".708",".146","4.3",".306","-9.5","-1.8","-1.8","664","11.4",".312","99"
"2007","KCR","6140","7.0%","17.4%","0.40",".261",".322",".388",".710",".126","4.9",".305","11.6","-5.0","-8.2","663","-96.6",".312","85"
"2018","PIT","6066","7.8%","20.3%","0.39",".254",".317",".407",".725",".154","4.4",".298","-4.1","-4.3","-4.9","693","-15.6",".312","95"
"2017","KCR","6027","6.5%","19.3%","0.33",".259",".311",".420",".731",".160","4.3",".295","9.2","-8.3","1.6","690","-44.9",".312","91"
"2011","CHW","6159","7.7%","16.1%","0.48",".252",".319",".388",".706",".136","3.5",".280","0.0","0.2","-10.1","673","-19.3",".312","90"
"2019","CIN","6100","8.1%","23.5%","0.34",".244",".315",".422",".736",".178","4.2",".288","-10.0","-3.1","-3.6","722","-46.2",".312","87"
"2013","PIT","6135","7.6%","21.7%","0.35",".245",".313",".396",".709",".151","4.6",".294","4.2","-0.2","-2.2","658","-14.5",".312","99"
"2017","TOR","6154","8.8%","21.6%","0.41",".240",".312",".412",".724",".172","3.1",".276","-8.2","-4.5","-3.1","701","-49.5",".312","93"
"2014","OAK","6245","9.4%","17.7%","0.53",".244",".320",".381",".700",".137","4.6",".278","3.8","3.9","3.3","677","6.5",".312","102"
"2013","WSN","6047","7.7%","19.7%","0.39",".251",".313",".398",".710",".146","4.4",".292","2.0","-0.9","2.0","645","-17.2",".311","94"
"2010","CLE","6165","8.8%","19.2%","0.46",".248",".322",".378",".700",".130","4.1",".293","2.3","-1.3","0.3","661","-47.0",".311","94"
"2008","SDP","6244","8.3%","20.2%","0.41",".250",".317",".390",".707",".140","3.4",".294","-1.3","1.0","-3.9","661","-90.4",".311","92"
"2012","PHI","6172","7.4%","17.7%","0.41",".255",".317",".400",".716",".144","4.9",".290","1.5","1.6","7.6","683","-21.4",".311","93"
"2012","TBR","6105","9.4%","21.7%","0.43",".240",".317",".394",".711",".155","4.9",".284","0.4","-3.9","2.8","678","-18.6",".311","100"
"2011","FLA","6232","8.7%","20.0%","0.44",".247",".318",".388",".706",".142","4.2",".291","3.0","1.6","-2.5","671","-28.7",".311","92"
"2016","CIN","6094","7.4%","21.1%","0.35",".256",".316",".408",".724",".152","5.2",".303","-4.5","-3.6","3.8","678","-40.1",".311","89"
"2013","MIL","6064","6.7%","19.5%","0.34",".252",".311",".398",".708",".145","5.1",".294","-13.1","1.9","4.3","647","-17.8",".311","91"
"2012","TOR","6094","7.8%","20.5%","0.38",".245",".309",".407",".716",".161","4.6",".281","0.1","0.3","2.1","676","-19.4",".311","92"
"2012","KCR","6149","6.6%","16.8%","0.39",".265",".317",".400",".716",".135","5.2",".302","-8.5","-3.7","4.8","683","-19.2",".311","94"
"2012","OAK","6183","8.9%","22.4%","0.40",".238",".310",".404",".714",".166","5.1",".281","9.3","4.7","5.4","686","-20.0",".311","97"
"2015","STL","6139","8.2%","20.6%","0.40",".253",".321",".394",".716",".142","4.2",".303","4.2","0.6","-3.9","676","-14.7",".311","97"
"2016","NYY","6058","7.8%","19.6%","0.40",".252",".314",".405",".720",".153","4.0",".289","8.6","-0.2","2.2","676","-37.5",".311","92"
"2008","SEA","6176","6.8%","14.4%","0.47",".265",".318",".389",".707",".124","4.2",".294","-6.8","-2.6","0.5","653","-90.2",".310","90"
"2017","PHI","6133","8.1%","23.1%","0.35",".250",".315",".409",".723",".159","4.3",".304","-5.8","-1.4","-2.3","690","-57.2",".310","87"
"2008","WSN","6192","8.6%","17.7%","0.49",".251",".323",".373",".696",".122","4.1",".292","-2.6","-8.1","-6.1","648","-97.2",".310","84"
"2010","LAA","6089","7.7%","17.6%","0.44",".248",".311",".390",".702",".142","4.3",".281","-2.7","-1.6","-4.5","645","-54.7",".310","94"
"2010","BAL","6109","6.9%","17.3%","0.40",".259",".316",".386",".702",".127","3.8",".296","-7.5","-10.5","-3.0","648","-53.7",".310","87"
"2009","PIT","6058","8.2%","18.9%","0.44",".252",".318",".387",".705",".135","4.6",".296","-4.1","-3.0","0.9","629","-97.4",".310","86"
"2012","CLE","6195","9.0%","17.5%","0.51",".251",".324",".381",".705",".131","4.2",".288","-7.9","-3.2","-2.5","682","-25.4",".310","97"
"2012","ATL","6126","9.3%","21.0%","0.44",".247",".320",".389",".709",".142","4.6",".296","3.9","2.4","0.9","668","-31.1",".310","92"
"2007","SFG","6213","8.6%","14.6%","0.59",".254",".322",".387",".708",".133","5.0",".281","-1.6","-7.9","4.8","656","-112.8",".310","81"
"2019","TOR","6091","8.4%","24.9%","0.34",".236",".305",".428",".733",".192","3.8",".280","-5.7","0.0","-1.3","712","-54.3",".310","92"
"2009","SDP","6179","9.5%","19.1%","0.50",".242",".321",".381",".701",".138","4.2",".284","-4.9","-5.9","0.4","639","-101.8",".309","93"
"2016","MIA","6133","7.3%","19.8%","0.37",".263",".322",".394",".716",".131","4.4",".314","5.3","-2.3","-0.6","675","-48.1",".309","95"
"2008","SFG","6145","7.4%","17.0%","0.43",".262",".321",".382",".703",".120","4.7",".305","-6.1","-7.6","-1.7","638","-101.2",".309","83"
"2010","LAD","6140","8.7%","19.3%","0.45",".252",".322",".379",".700",".127","4.3",".299","8.2","-0.6","-6.3","640","-65.3",".309","92"
"2015","NYM","6145","7.9%","21.0%","0.38",".244",".312",".400",".712",".156","3.6",".287","8.9","-0.4","-2.3","669","-22.0",".309","98"
"2019","CHW","6042","6.3%","25.6%","0.24",".261",".314",".414",".728",".153","3.9",".329","6.0","2.0","-2.7","703","-57.4",".309","92"
"2013","SFG","6168","7.6%","17.5%","0.44",".260",".320",".381",".702",".121","4.3",".304","-0.5","-1.8","-1.8","644","-31.4",".309","100"
"2014","SFG","6087","7.0%","20.5%","0.34",".255",".311",".388",".699",".133","4.3",".304","2.4","2.4","-4.3","642","-11.9",".308","99"
"2015","OAK","6171","7.7%","18.1%","0.42",".251",".312",".395",".707",".144","4.9",".288","-4.3","1.9","1.4","668","-26.1",".308","95"
"2019","BAL","6189","7.5%","23.2%","0.32",".246",".310",".415",".725",".168","4.5",".293","1.8","-0.5","0.7","714","-65.4",".308","90"
"2014","STL","6086","7.7%","18.6%","0.42",".253",".320",".369",".689",".116","3.6",".300","-2.2","-7.0","-6.3","639","-15.1",".308","95"
"2014","HOU","6055","8.2%","23.8%","0.34",".242",".309",".383",".692",".141","4.4",".298","-2.0","0.5","5.1","640","-11.0",".308","98"
"2018","PHI","6136","9.5%","24.8%","0.38",".234",".314",".393",".707",".158","4.4",".289","-0.9","4.1","-0.3","677","-40.4",".307","91"
"2016","KCR","6052","6.3%","20.2%","0.31",".261",".312",".400",".712",".139","4.9",".309","-5.6","-5.4","6.7","657","-55.8",".307","89"
"2014","MIA","6185","8.1%","22.9%","0.35",".253",".317",".378",".694",".125","4.2",".316","0.4","-4.1","-1.9","647","-17.7",".307","95"
"2015","CIN","6196","8.0%","20.3%","0.40",".248",".312",".394",".706",".146","4.7",".290","0.2","1.6","9.1","664","-33.2",".307","91"
"2013","SEA","6172","8.6%","21.9%","0.39",".237",".306",".390",".695",".152","3.4",".279","-5.2","2.2","-3.9","642","-34.5",".307","95"
"2017","LAA","6073","8.6%","19.7%","0.44",".243",".315",".397",".712",".155","4.5",".277","1.2","-4.8","5.0","669","-71.2",".307","92"
"2013","MIN","6212","8.6%","23.0%","0.37",".242",".312",".380",".692",".138","3.1",".298","0.1","8.5","-7.4","645","-35.4",".307","91"
"2010","NYM","6144","8.2%","17.8%","0.46",".249",".314",".383",".697",".134","5.0",".287","4.6","2.1","3.9","632","-73.7",".307","89"
"2011","LAD","6094","8.2%","17.8%","0.46",".257",".322",".375",".697",".118","4.7",".299","1.4","4.8","4.0","638","-46.7",".307","95"
"2012","SDP","6112","8.8%","20.3%","0.44",".247",".319",".380",".699",".133","5.5",".297","2.7","5.0","6.1","651","-46.2",".307","97"
"2012","NYM","6091","8.3%","20.5%","0.40",".249",".316",".386",".701",".137","3.9",".298","1.2","1.3","-5.7","647","-47.8",".306","94"
"2008","OAK","6138","9.4%","20.0%","0.47",".242",".318",".369",".686",".127","4.2",".289","5.3","2.4","4.7","626","-113.4",".306","86"
"2018","ARI","6157","9.1%","23.7%","0.38",".235",".310",".397",".707",".162","5.2",".286","3.4","1.4","2.3","672","-47.7",".306","88"
"2014","KCR","6058","6.3%","16.3%","0.39",".263",".314",".376",".690",".113","5.2",".302","-3.1","-3.6","11.5","630","-20.5",".306","92"
"2011","ATL","6169","8.2%","20.4%","0.40",".243",".308",".387",".695",".144","3.7",".284","1.8","0.4","-7.0","638","-55.4",".306","91"
"2014","NYY","6082","7.4%","18.6%","0.40",".245",".307",".380",".687",".135","4.7",".282","-5.6","1.6","7.2","631","-22.5",".305","94"
"2014","TEX","6026","6.9%","19.3%","0.36",".256",".314",".375",".689",".119","4.4",".305","14.1","-9.2","-6.7","625","-22.1",".305","90"
"2015","MIN","6017","7.3%","21.0%","0.35",".247",".305",".399",".704",".152","4.8",".292","-0.3","-1.7","-3.5","637","-39.7",".305","89"
"2009","SFG","6057","6.5%","19.1%","0.34",".257",".309",".389",".699",".132","4.7",".302","9.7","0.0","0.3","603","-123.1",".305","83"
"2015","LAA","5990","7.3%","19.2%","0.38",".246",".307",".396",".702",".150","3.6",".280","4.7","1.4","-5.6","633","-40.1",".305","95"
"2013","KCR","6093","6.9%","17.2%","0.40",".260",".315",".379",".694",".119","5.1",".300","6.9","-1.9","13.2","624","-43.5",".305","89"
"2014","TBR","6205","8.5%","18.1%","0.47",".247",".317",".367",".684",".120","3.6",".287","4.8","-0.5","-3.3","642","-24.7",".305","97"
"2018","NYM","6177","9.2%","22.7%","0.40",".234",".312",".389",".701",".154","4.3",".283","7.6","0.1","-5.1","670","-52.3",".305","94"
"2019","SDP","6019","8.4%","26.3%","0.32",".238",".308",".410",".718",".172","4.1",".293","-1.7","-4.3","-5.1","673","-84.6",".305","88"
"2014","BOS","6226","8.6%","21.5%","0.40",".244",".316",".369",".684",".124","3.7",".297","-3.4","-2.2","-2.5","644","-25.1",".305","89"
"2011","WSN","6090","7.7%","21.7%","0.36",".242",".309",".383",".691",".140","4.3",".292","1.7","0.8","1.2","624","-59.8",".305","89"
"2013","CHC","6079","7.2%","20.2%","0.36",".238",".300",".392",".693",".154","3.6",".275","-5.4","-2.3","-4.2","617","-48.7",".304","90"
"2017","PIT","6136","8.5%","19.8%","0.43",".244",".318",".386",".704",".142","4.3",".286","3.0","0.3","-5.5","657","-90.7",".304","85"
"2016","ATL","6192","8.1%","20.0%","0.40",".255",".321",".384",".705",".130","4.1",".305","-2.3","-1.6","-2.2","654","-75.4",".304","86"
"2010","SDP","6148","8.8%","19.2%","0.45",".246",".317",".371",".689",".125","4.7",".290","3.8","5.3","0.2","622","-84.4",".304","92"
"2018","CHW","6071","7.0%","26.3%","0.27",".241",".302",".401",".703",".160","5.0",".304","-7.2","0.3","-0.3","656","-53.3",".304","92"
"2015","MIL","6024","6.8%","21.6%","0.32",".251",".307",".393",".700",".142","4.7",".303","2.3","-3.6","2.8","626","-51.0",".304","87"
"2012","PIT","6014","7.4%","22.5%","0.33",".243",".304",".395",".699",".152","4.3",".291","8.0","3.8","-12.1","627","-59.1",".304","91"
"2013","PHI","6014","6.9%","20.0%","0.35",".248",".306",".384",".690",".135","4.2",".293","0.1","-6.2","-1.3","604","-55.1",".303","89"
"2018","KCR","6063","7.0%","21.6%","0.33",".245",".305",".392",".697",".146","4.7",".293","-8.8","-3.2","4.6","649","-59.6",".303","87"
"2014","CHC","6102","7.2%","24.2%","0.30",".239",".300",".385",".684",".146","4.1",".296","4.4","6.7","-7.1","618","-37.7",".303","91"
"2013","SDP","6122","7.6%","21.4%","0.36",".245",".308",".378",".686",".133","4.6",".294","0.7","2.5","5.6","612","-58.6",".302","94"
"2016","OAK","6022","7.3%","19.0%","0.39",".246",".304",".395",".699",".149","3.6",".280","-10.9","-8.9","-2.4","628","-81.7",".302","89"
"2019","KCR","6080","7.5%","23.1%","0.32",".247",".309",".401",".710",".154","5.1",".301","-4.6","-0.5","3.4","670","-95.7",".302","84"
"2012","LAD","6091","7.9%","19.0%","0.42",".252",".317",".374",".690",".122","4.2",".298","-0.1","-5.3","-3.2","624","-70.9",".302","90"
"2015","MIA","5988","6.3%","19.2%","0.33",".260",".310",".384",".694",".124","4.8",".307","1.2","-4.4","2.0","612","-61.7",".302","91"
"2011","OAK","6104","8.3%","17.9%","0.47",".244",".311",".369",".680",".125","4.7",".283","-7.5","-0.2","1.2","615","-70.5",".301","89"
"2011","HOU","6150","6.5%","18.9%","0.34",".258",".311",".374",".684",".116","4.7",".308","-7.4","1.4","5.4","616","-75.3",".301","88"
"2013","NYY","6044","7.7%","20.1%","0.38",".242",".307",".376",".683",".133","4.8",".285","-4.4","2.6","6.2","603","-59.4",".301","86"
"2012","MIA","6057","8.0%","20.3%","0.39",".244",".308",".382",".690",".138","5.2",".289","-5.6","0.7","7.4","615","-75.8",".300","87"
"2010","PIT","5974","7.8%","20.2%","0.38",".242",".304",".373",".678",".131","4.2",".288","-0.1","-4.5","-1.2","582","-103.7",".300","84"
"2015","CHW","6070","6.7%","20.3%","0.33",".250",".306",".380",".686",".130","4.0",".296","-9.8","0.2","-5.6","617","-65.9",".300","89"
"2014","ARI","6089","6.5%","19.1%","0.34",".248",".302",".376",".678",".127","4.9",".293","0.0","1.9","-0.4","601","-53.1",".300","83"
"2013","CHW","6077","6.8%","19.9%","0.34",".249",".302",".378",".680",".129","4.1",".291","-9.6","-3.1","0.0","597","-69.3",".299","85"
"2014","SEA","5977","6.6%","20.6%","0.32",".244",".300",".376",".676",".132","4.5",".290","3.7","1.2","-1.7","592","-49.9",".299","94"
"2014","NYM","6145","8.4%","20.6%","0.41",".239",".308",".364",".673",".126","4.3",".286","-3.2","0.8","2.0","603","-57.4",".299","92"
"2011","PIT","6064","8.1%","21.6%","0.37",".244",".309",".368",".676",".123","4.7",".301","-8.4","-2.8","-4.0","593","-87.8",".299","88"
"2018","BAL","6034","7.0%","23.4%","0.30",".239",".298",".391",".689",".152","3.8",".286","-6.3","-7.3","4.0","627","-77.6",".299","87"
"2015","PHI","6053","6.4%","21.0%","0.30",".249",".303",".382",".684",".133","4.7",".299","-3.3","-1.0","2.4","605","-75.5",".298","86"
"2015","SDP","6019","7.1%","22.0%","0.32",".243",".300",".385",".685",".142","4.7",".292","0.6","2.0","2.4","601","-76.1",".298","90"
"2013","HOU","6020","7.1%","25.5%","0.28",".240",".299",".375",".674",".136","4.1",".304","-2.7","-0.1","-6.1","583","-76.9",".298","85"
"2017","SDP","5954","7.7%","25.2%","0.31",".234",".299",".393",".692",".160","4.5",".287","1.5","4.6","0.6","604","-121.5",".298","82"
"2016","SDP","6000","7.5%","25.0%","0.30",".235",".299",".390",".689",".155","5.0",".291","16.6","4.5","3.7","600","-106.8",".297","84"
"2012","CHC","5967","7.5%","20.7%","0.36",".240",".302",".378",".680",".138","4.6",".286","3.4","-4.4","-5.0","591","-90.0",".297","81"
"2013","NYM","6207","8.2%","22.3%","0.37",".237",".306",".366",".672",".129","4.6",".291","14.9","3.7","4.4","594","-86.4",".297","90"
"2017","SFG","6137","7.6%","19.6%","0.39",".249",".309",".380",".689",".132","4.2",".294","6.7","-1.4","-2.7","620","-128.5",".296","83"
"2014","ATL","6064","7.8%","22.6%","0.34",".241",".305",".360",".665",".119","4.0",".298","-2.3","-3.3","1.2","583","-68.7",".296","86"
"2016","PHI","5992","7.1%","23.0%","0.31",".240",".301",".385",".685",".144","4.6",".292","3.0","0.1","-2.2","595","-111.5",".296","81"
"2015","ATL","6034","7.8%","18.3%","0.43",".251",".314",".359",".674",".108","3.7",".297","7.1","-7.8","-2.0","587","-91.8",".296","84"
"2012","HOU","6014","7.7%","22.7%","0.34",".236",".302",".371",".673",".135","4.3",".288","-9.1","-4.4","-3.4","588","-98.4",".296","82"
"2011","MIN","6020","7.3%","17.4%","0.42",".247",".306",".360",".666",".113","4.2",".288","-3.4","-1.0","-2.1","579","-97.4",".296","82"
"2018","DET","6029","7.1%","22.2%","0.32",".241",".300",".380",".680",".138","4.5",".293","5.2","2.7","-1.5","609","-95.5",".295","83"
"2011","SFG","6091","7.4%","18.4%","0.40",".242",".303",".368",".671",".126","3.7",".281","3.3","-1.8","-8.0","582","-102.7",".295","88"
"2010","HOU","6005","6.9%","17.1%","0.40",".247",".303",".362",".665",".115","4.3",".285","-0.4","-7.3","1.3","561","-128.5",".295","79"
"2014","PHI","6198","7.1%","21.1%","0.34",".242",".302",".363",".665",".121","4.7",".292","-3.9","7.8","6.7","592","-74.0",".295","86"
"2019","SFG","6170","7.7%","23.3%","0.33",".239",".302",".392",".694",".153","3.8",".290","-0.9","3.2","-5.7","641","-135.8",".295","82"
"2014","CIN","5978","6.9%","20.9%","0.33",".238",".296",".365",".661",".127","4.4",".284","-5.8","4.8","-0.2","565","-76.8",".294","83"
"2018","SDP","6059","7.8%","25.1%","0.31",".235",".297",".380",".677",".145","4.4",".294","-2.9","-3.9","1.1","601","-106.6",".294","84"
"2012","SEA","6057","7.7%","20.8%","0.37",".234",".296",".369",".665",".135","4.6",".276","-6.4","5.7","0.8","575","-116.5",".291","87"
"2011","SDP","6074","8.2%","21.7%","0.38",".237",".305",".349",".653",".112","5.4",".294","7.2","-0.5","11.5","552","-130.0",".290","86"
"2018","SFG","6113","7.3%","24.0%","0.31",".239",".300",".368",".667",".129","4.1",".299","-1.1","0.0","-1.8","585","-128.9",".290","82"
"2019","DET","6039","6.5%","26.4%","0.25",".240",".294",".388",".682",".148","4.4",".308","-7.4","0.7","-0.1","601","-158.9",".290","76"
"2018","MIA","6083","7.5%","22.8%","0.33",".237",".303",".357",".659",".119","3.5",".293","-7.2","-1.5","-7.1","581","-130.2",".289","83"
"2019","MIA","6045","6.5%","24.3%","0.27",".241",".298",".375",".673",".134","3.6",".300","-9.8","-9.1","-5.0","591","-170.1",".288","79"
"2010","SEA","5989","7.7%","19.8%","0.39",".236",".298",".339",".637",".104","4.2",".282","-10.8","1.4","8.4","513","-174.6",".285","79"
"2011","SEA","5972","7.3%","21.4%","0.34",".233",".292",".348",".640",".115","4.4",".283","-1.4","8.8","4.5","517","-154.2",".283","80"
"2014","SDP","5905","7.9%","21.9%","0.36",".226",".292",".342",".634",".115","4.3",".277","-0.4","-6.2","0.4","510","-124.5",".283","82"
"2013","MIA","6021","7.2%","20.5%","0.35",".231",".293",".335",".627",".104","4.1",".280","-1.0","-3.9","-0.3","493","-166.7",".279","74"
